Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Tomas Fleischmann,AHC,F,43,6,4,3,3,3,3,1,1,5,3,2,1,3,1
Ryane Clowe,AHC,F,29,10,4,4,3,2,4,2,1,11,4,2,2,3,2
Bobby Holik,AHC,F,18,11,3,3,3,5,4,5,0,8,3,6,4,3,4
Saku Koivu,AHC,F,11,5,4,4,4,3,3,2,1,9,3,2,3,3,3
Kristian Huselius,AHC,F,20,4,4,4,4,4,4,2,1,10,4,2,3,3,3
Mattias Ohlund,AHC,D,2,10,4,4,4,4,4,4,1,9,4,4,1,4,1
Jason Smith,AHC,D,21,9,4,3,3,6,3,5,0,7,2,6,4,3,5
Andrew Ference,AHC,D,22,6,3,3,3,4,3,4,1,7,3,3,2,3,3
Joe Pavelski,AUT,F,8,6,4,3,3,5,3,1,0,5,3,2,2,3,2
Martin St. Louis,AUT,F,26,5,5,5,4,4,3,1,1,13,4,5,0,4,2
Marian Gaborik,AUT,F,10,5,5,5,5,2,4,1,1,5,4,2,0,3,1
Daniel Briere,AUT,F,48,5,4,4,5,2,4,1,0,10,4,4,1,5,2
Pierre-Marc Bouchard,AUT,F,96,4,5,4,4,5,4,2,1,9,3,2,2,4,2
Tom Poti,AUT,D,3,9,4,4,3,4,4,2,1,8,4,4,1,4,1
Brad Stuart,AUT,D,23,9,3,4,3,3,4,4,1,9,3,4,3,4,2
Sergei Gonchar,AUT,D,55,9,4,4,5,4,5,2,1,9,4,5,4,4,3
Markus Naslund,BAY,F,91,7,4,4,5,2,3,2,1,9,5,3,5,3,2
Jonathan Toews,BAY,F,19,7,5,4,4,4,4,2,1,10,5,2,3,3,3
Jason Spezza,BAY,F,36,9,4,4,5,5,5,2,0,14,5,2,3,4,3
Paul Stastny,BAY,F,26,8,4,5,5,5,5,1,1,12,5,2,2,4,2
Zach Parise,BAY,F,9,6,5,4,4,5,4,1,1,9,4,2,2,3,2
Wade Redden,BAY,D,6,8,4,4,4,4,4,3,1,9,4,5,1,5,1
Rhett Warrener,BAY,D,44,9,3,3,2,5,4,4,0,10,3,6,3,3,4
Mike Green,BAY,D,52,6,5,5,5,6,4,2,0,11,3,6,3,5,3
Todd Bertuzzi,BBM,F,44,12,4,4,4,2,3,5,1,11,4,4,5,3,5
Keith Tkachuk,BBM,F,7,11,4,3,5,2,5,5,1,9,4,4,4,4,5
Kyle Okposo,BBM,F,21,6,4,3,3,2,3,1,0,5,3,2,1,3,1
Daymond Langkow,BBM,F,22,5,4,4,4,3,3,3,1,9,3,5,1,4,3
Clarke MacArthur,BBM,F,41,6,4,4,3,4,3,2,1,9,4,2,2,2,2
Francois Beauchemin,BBM,D,23,8,5,3,2,2,2,2,1,2,1,6,3,3,3
Braydon Coburn,BBM,D,5,10,4,4,3,4,3,2,1,5,3,6,3,3,3
Jaroslav Spacek,BBM,D,6,8,3,4,3,3,4,2,1,9,4,3,2,4,1
Mats Sundin,BFC,F,13,10,5,4,5,3,4,2,0,11,4,5,2,5,2
Daniel Alfredsson,BFC,F,11,7,4,5,5,4,4,2,0,11,5,5,3,4,2
Sidney Crosby,BFC,F,87,7,5,5,6,5,5,2,1,14,4,2,2,5,2
Brenden Morrow,BFC,F,10,8,5,5,4,5,4,2,1,10,4,2,3,3,3
Brad Boyes,BFC,F,22,7,5,4,4,4,5,1,0,9,6,2,2,3,2
Zdeno Chara,BFC,D,33,15,5,4,4,6,5,6,1,9,3,5,4,4,5
Kris Letang,BFC,D,58,7,5,3,2,4,3,1,0,5,3,6,2,2,2
Ryan O'Byrne,BFC,D,3,11,5,4,2,4,3,2,0,8,3,5,3,2,3
Nathan Horton,HAM,F,18,11,5,4,4,4,4,2,0,9,4,2,3,3,3
Jarret Stoll,HAM,F,16,7,5,4,3,4,3,2,0,12,4,2,3,4,3
Brad Richards,HAM,F,91,7,5,4,4,3,4,3,1,11,5,2,3,5,1
Andrew Ladd,HAM,F,61,7,5,4,3,4,3,2,1,7,3,2,2,3,2
Jarome Iginla,HAM,F,12,8,5,5,4,2,4,4,0,9,5,4,4,5,4
Sami Salo,HAM,D,6,9,4,4,3,4,5,3,0,7,4,6,1,4,2
Niklas Kronwall,HAM,D,55,6,5,4,3,6,3,2,1,8,2,6,3,3,3
Tom Gilbert,HAM,D,77,8,5,4,3,3,4,1,0,4,4,6,2,3,2
Anze Kopitar,HIG,F,11,10,5,4,4,3,4,1,1,11,4,2,2,4,2
Mike Richards,HIG,F,18,6,5,5,5,4,4,2,1,12,4,2,3,4,3
