Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Evgeni Nabokov,AUT,G,20,7,5,4,0,3,6,0,1,0,0,5,4,4,5
Carey Price,AUT,G,31,11,5,4,3,3,4,0,1,0,0,4,4,4,4
Semyon Varlamov,BAR,G,1,5,3,4,0,4,5,0,1,0,0,5,4,4,5
Anton Khudobin,BAR,G,35,4,5,4,0,2,2,0,0,0,0,2,4,4,2
Cory Schneider,BAY,G,35,6,5,4,3,5,6,0,1,0,0,4,4,4,4
Jose Theodore,BAY,G,60,6,4,3,2,2,2,0,0,0,0,3,3,3,3
Ryan Miller,BFC,G,30,3,5,5,2,3,4,0,1,0,0,5,6,5,6
Brian Elliott,BFC,G,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuukka Rask,HAM,G,40,3,5,5,0,3,5,0,1,0,0,5,6,6,5
Steve Mason,HAM,G,1,5,3,3,1,1,3,0,0,0,0,3,4,4,3
Henrik Lundqvist,HIG,G,30,6,6,5,4,4,5,0,1,0,0,5,5,5,5
Dan Ellis,HIG,G,33,5,3,4,1,2,3,0,1,0,0,3,3,3,3
Pekka Rinne,ING,G,35,8,5,5,0,5,6,0,1,0,0,5,5,5,5
Scott Clemmensen,ING,G,30,8,2,2,1,3,4,0,1,0,0,3,4,4,3
Niklas Backstrom,ITA,G,32,7,4,4,1,3,4,0,1,0,0,4,4,4,4
Ondrej Pavlevic,ITA,G,31,7,5,4,2,1,3,0,1,0,0,4,3,3,4
Roberto Luongo,KAR,G,1,8,4,4,4,4,6,0,1,0,0,6,6,6,6
Jhonas Enroth,KAR,G,31,3,3,3,0,2,3,0,1,0,0,4,3,3,4
Chris Osgood,MHA,G,30,5,4,3,2,2,1,0,1,0,0,3,3,3,3
Pascal LeClaire,MHA,G,33,7,4,4,0,2,4,0,1,0,0,3,4,4,3
Craig Anderson,MHT,G,31,5,4,4,1,2,4,0,1,0,0,4,5,5,5
Johan Hedberg,MHT,G,1,6,3,3,2,2,2,0,1,0,0,3,3,3,3
Kari Lehtonen,MGG,G,32,6,5,4,3,5,4,0,1,0,0,5,5,5,5
Mike Smith,MGG,G,41,10,4,3,1,2,3,0,0,0,0,4,3,3,4
Jonathan Quick,NBK,G,32,5,4,4,4,4,3,0,1,0,0,5,5,5,5
Kevin Poulin,NBK,G,60,8,4,5,0,4,5,0,1,0,0,3,3,3,3
Marc-Andre Fleury,OCW,G,29,5,5,5,6,6,5,0,0,0,0,5,5,5,5
Robin Lehner,OCW,G,40,10,4,3,0,2,2,0,1,0,0,4,3,3,4
Cam Ward,PIT,G,30,7,5,5,5,5,6,0,0,0,0,5,5,5,5
Martin Biron,PIT,G,31,3,4,3,2,2,2,0,1,0,0,2,2,3,3
Tim Thomas,PRO,G,30,7,5,5,3,6,6,0,1,0,0,6,6,6,6
Devan Dubnyk,PRO,G,40,6,5,4,0,2,4,0,0,0,0,3,4,4,3
Braden Holtby,RIC,G,70,8,4,4,1,6,6,0,1,0,0,4,4,4,4
Ben Bishop,RIC,G,30,9,5,4,0,2,3,0,1,0,0,4,3,3,4
Ray Emery,ROC,G,29,7,4,4,0,4,5,0,1,0,0,4,5,5,4
Michal Neuvirth,ROC,G,30,4,3,4,0,4,4,0,1,0,0,5,4,4,5
Jimmy Howard,SAG,G,35,9,5,3,1,2,4,0,1,0,0,4,4,4,4
Jonathan Bernier,SAG,G,45,4,3,4,0,3,4,0,1,0,0,5,3,3,5
Miikka Kiprusoff,SHS,G,34,6,4,4,5,5,4,0,1,0,0,4,4,5,5
Al Montoya,SHS,G,35,6,5,4,1,4,5,0,1,0,0,5,4,4,5
Antti Niemi,SVF,G,31,9,5,3,1,4,5,0,1,0,0,5,5,5,5
Jean-Sebastien Giguere,SVF,G,35,7,4,4,5,5,4,0,1,0,0,5,5,4,5
Corey Crawford,SUM,G,50,5,5,3,1,4,4,0,0,0,0,4,4,4,4
Dwayne Roloson,SUM,G,30,5,2,4,5,5,3,0,1,0,0,2,2,2,2
James Reimer,TAI,G,34,8,3,3,1,3,5,0,1,0,0,5,4,4,5
Nikolai Khabibulin,TAI,G,39,8,4,3,5,5,2,0,1,0,0,3,3,2,2
Sergei Bobrovsky,TEG,G,72,6,5,5,2,3,4,0,1,0,0,5,4,4,5
Peter Budaj,TEG,G,31,7,4,3,1,1,2,0,1,0,0,3,3,3,3
Ilya Bryzgalov,TBP,G,30,8,5,4,2,3,5,0,1,0,0,4,4,4,4
Jonas Hiller,TBP,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Brodeur,VHV,G,30,9,6,4,6,4,6,0,1,0,0,6,6,5,5
Thomas Greiss,VHV,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomas Vokoun,WDY,G,29,6,5,4,1,3,5,0,0,0,0,4,5,5,4
Jaroslav Halak,WDY,G,41,5,5,4,0,3,4,0,1,0,0,4,4,4,4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
